ID Planinfra,Ano de entrada,Registro do ID,Data da ação,Status,AUTORIZAÇÃO,Cidade,Estado,PRIORIDADE EMAER,COMAR,ODS,OM,DESCRIÇÃO,Solicitante,Documento de Solicitação,DOCUMENTO do Caderno de Necessidades,Data do Carderno de Necessidades,VALOR ESTIMATIVA (R$),RESPONSAVEL PROJETO,INÍCIO DO PROJETO/TAP,PRAZO DE PROJETO,PROJETO,VALOR PROJETO  (R$),DOCUMENTO ENTREGA do Projeto,Data de entrega do Projeto,DOCUMENTO CANCELAMENTO,DOCUMENTO SUSPENSÃO,RESPONSÁVEL LICITAÇÃO,Origem do Crédito,DATA DA LICITAÇÃO,Valor Obra (R$),Apostilamentos/Reajustes,1o Valor Aditivo (R$),2o Valor Aditivo (R$),3o Valor Aditivo (R$),4o Valor Aditivo (R$),5o Valor Aditivo (R$),Valor Vigente (R$),RESPONSÁVEL FISCALIZAÇÃO,INÍCIO DA OBRA,PRAZO ORIGINAL DA OBRA,1o ADITIVO DE PRAZO (DIAS),2o ADITIVO DE PRAZO (DIAS),3o ADITIVO DE PRAZO (DIAS),4o ADITIVO DE PRAZO (DIAS),5o ADITIVO DE PRAZO (DIAS),Valor Total Medido,PRAZO DA OBRA,EXECUÇÃO,OBS,PUBLICAR,Data que saiu do PlanINFRA,Setor Responsável,Telefone,RESPONSÁVEL ETPE,DOCUMENTO do ETPE,Data do ETPE,GERENTE DO PROJETO,TELEFONE DO GERENTE,DOCUMENTO de envio do TAP para o cliente,DATA de envio do TAP para o cliente,DOCUMENTO de recebimento do TAP assinado pelo cliente,VALOR ESTIMATIVA TAP (R$),LINK DO GPAER,DOCUMENTO de envio do TMP para o cliente,DATA de envio do TMP para o cliente,DOCUMENTO de recebimento do TMP assinado pelo cliente,DATA de recebimento do TMP assinado pelo cliente,ACRÉSCIMO VALOR TMP,ACRÉSCIMO PRAZO TMP,ESTIMATIVA PROJETO VIGENTE,PRAZO PROJETO VIGENTE,DOCUMENTO de assinatura do TEP pelo cliente,DATA de assinatura do TEP pelo cliente,REGISTRO SISOP,USUÁRIO ÚLTIMO AÇÃO,DOCUMENTO AUTORIZAÇÃO PARA LICITAR,DATA AUTORIZAÇÃO PARA LICITAR,DATA ENVIO DA DNR À UG EXEC,DATA ENVIO À CJU,DATA RETORNO DA CJU,DATA PUBLICAÇÃO EDITAL,DATA ENTREGA PROPOSTAS,VALOR ADJUDICADO,CÓDIGO PTA,INÍCIO PTA,TÉRMINO PTA,TIPO LICITACAO,NUMERO LICITACAO
2020-1259,2020,1259,,PCN,Encerrado,RIO DE JANEIRO,RJ,,III COMAR,COMPREP,BASC,Reforma do estande de tiro da Marambaia em SBSC,,75/4SC2/41878,187503,,"R$ 160.000,00",SERINFRA-RJ,,,,,,,163/4SC2/6400,,,FAB,,,,,,,,,"160.000,00",,,,,,,,,,,,,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1260,2020,1260,03/05/2022 14:38:08,OBC,Encerrado,PIRASSUNUNGA,SP,,IV COMAR,COMGEP,AFA,Obra de Reforma da Edificação E-168 (DOA),AFA,,185441; 186115,,"R$ 2.100.000,00",DTINFRA-SP,,9/18/2020,100,"R$ 2.252.982,24",200588,,,,,FAB,2/22/2021,"R$ 2.027.115,64",,,,,,,"R$ 2.027.115,64",AFA,2/22/2021,8/21/2021,,,,,,,8/21/2021,100,"Registro SISOP: COMGEP-2021-1-SP-SV
Reforma do prédio dos simuladores - AFA
(PROJETO)
 - (PROJETO) incluído no PlanINFRA conforme solicitação do EMAER via Of. 70/4SC2/41718, de 18/02/20.
 - AFA encaminha Caderno de Necessidades em 17/03/20, via Ofício 3/DOA_SDIV/2855.
 - AFA solicita alteração de escopo devido ao aumento na quantidade de simuladores a serem adquiridos de 2 para 15, via Ofício 10/DOA_SDIV/6925 de 28/07/20.
 - Cancelado projeto anterior com estimativa de R$ 2.100.000,00.
 - Novo layout aprovado em 04/08/20, pendente entrega do novo Caderno de Necessidades.
 - Enviado via Of. nº 2724/SEN SP/9513 ao GAP-YS e à AFA, em 18/09/20.
 (LICITAÇÃO)
 - EMAER autoriza licitação, conforme Of. n° 464/4SC2/52690 de 22/10/20.
",NÃO,,DTEN,(11) 2104-5426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1261,2020,1261,04/05/2022 11:56:32,PCN,Encerrado,PIRASSUNUNGA,SP,,IV COMAR,COMGEP,AFA,Construção de pista de grama para vôo a vela,EMAER,,,,"R$ 6.000.000,00",CEPE,,9/4/2020,100,"R$ 4.617.560,26",301/IES/596,9/4/2020,163/4SC2/6400,,,,,,,,,,,,"R$ 4.617.560,26",,,,,,,,,,,,Revisão de projeto: 12/ORC/14,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1262,2020,1262,03/05/2022 13:05:48,PCN,Encerrado,PIRASSUNUNGA,SP,,IV COMAR,COMGEP,AFA,Reforma do refeitório e Recuperação Estrutural,EMAER,73/4SC2/41830,10/SECGAB/13266,3/9/2020,"R$ 5.000.000,00",CEPE,,,,,,,,,,,,,,,,,,,"R$ 5.000.000,00",,,,,,,,,,,,"Projeto cancelado / descontinuado, pois foi substituido por demanda semelhante priorizada e aprovada no PLANINFRA 2023 pelo EMAER IDs 2023-2045, 2023-50, 2023-2051 e 2023-2052.",SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1263,2020,1263,08/05/2023 13:28:34,OBC,Encerrado,LAGOA SANTA,MG,,III COMAR,SEFA,PALS,Construção de rede interna de esgoto - Vila dos Oficiais de Lagoa Santa - SEFA-2020-2-MG-SV,PALS,Ofício nº 158/4SC2/43537 de 20/03/2020,187027,4/5/2020,"R$ 421.000,00",PALS,,8/5/2020,100,"R$ 469.760,24",,,,,GAP-LS,,1/25/2021,"R$ 420.045,55",,,,,,,"R$ 420.045,55",PALS,1/25/2021,6/27/2022,,,,,,,6/27/2022,100,RECURSO AÇÃO 15F1.,SIM,,SPAT,31 2112-9683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1264,2020,1264,03/05/2022 10:13:48,OBC,Encerrado,SÃO PAULO,SP,,IV COMAR,COMGAP,ILA,Construção do Centro de Treinamento Esportivo no Instituto de Logístiva da Aeronáutica - ILA,ILA,,185697,,"R$ 1.500.000,00",CO-DCTA,,,100,"R$ 1.714.046,34",,,,,GAP-SP,FAB 219D,1/4/2021,"R$ 1.454.813,85",,,,,,,"R$ 1.454.813,85",DTINFRA-SP,1/4/2021,7/3/2021,,,,,,,7/3/2021,100,Registro SISOP: COMGAP-2020-3-SP-SV,NÃO,,DTEN,(11) 2104-5426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1265,2020,1265,03/05/2022 10:08:27,OBC,Encerrado,GUARULHOS,SP,,IV COMAR,COMGAP,ILA,Construção do vestiário de Graduados - ILA,ILA,,185697,,"R$ 500.000,00",CO-DCTA,,,100,"R$ 470.838,95",,,,,GAP-SP,FAB 219D,12/15/2020,"R$ 416.152,06",,,,,,,"R$ 416.152,06",DTINFRA-SP,12/15/2020,9/14/2021,,,,,,,9/14/2021,100,Registro SISOP: COMGAP-2020-8-SP-ED,NÃO,,DTEN,(11) 2104-5426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1266,2020,1266,28/04/2022 12:24:45,PCN,Encerrado,SÃO PAULO,SP,,IV COMAR,SEFA,GAP-SP,Ampliação da rede de distribuição de água do GAP-SP,EMAER,83/4SC2/41917,PENDENTE,,"R$ 400.000,00",DTINFRA-SP,,,,,,,,,,FAB,,,,,,,,,"R$ 400.000,00",DTINFRA-SP,,,,,,,,,,,"Projeto cancelado / descontinuado, em virtude da priorização e aprovação do PLANINFRA 2023 pelo EMAER",SIM,,DTEN,(11) 2104-5426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1267,2020,1267,05/05/2022 13:06:15,PCN,Encerrado,SÃO PAULO,SP,,IV COMAR,SEFA,FAYS,Construção de novo PAA da Seção de Logística e Implementos da FAYS,EMAER,86/4SC2/41921,139/DA/3015,3/12/2020,"R$ 2.000.000,00",CEPE,,,,,,,,,,,,,,,,,,,"R$ 2.000.000,00",,,,,,,,,,,,"Projeto cancelado / descontinuado, em virtude da priorização e aprovação do PLANINFRA 2023 pelo EMAER",SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1268,2020,1268,06/07/2022 14:08:12,OCN,Encerrado,SÃO PAULO,SP,,IV COMAR,COMGAP,PAMA-SP," Reforma de Cobertura, estrutura e sistema de proteção de descargas atmosféricas SPDA do HANGAR 003 do PAMA-SP - COMGAP-2021-1-SP-SV",EMAER, Of. n° 103/4SC2/42299,,,"R$ 5.000.000,00",DTINFRA-SP,,6/1/2020,100,"R$ 4.556.608,35",Of. n° 1501/SSEP SP/4831,6/4/2022,,,GAP-SP,FAB 219D,11/25/2020,"R$ 4.145.563,38",,,,,,,"R$ 4.145.563,38",DTINFRA-SP,1/18/2021,6/17/2021,,,,,,,9/10/2021,,Registro SISOP: COMGAP-2021-1-SP-SV,SIM,,DTEN - 1º Ten Costa,(11) 2104-5426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1269,2020,1269,29/04/2022 15:50:43,PRC,Encerrado,SÃO PAULO,SP,,IV COMAR,COMGAP,PAMA-SP,Reforma do Prédio E-032 (Banco de Provas) PAMA-SP,EMAER,143/4SC2/42928,187390,4/9/2020,"R$ 4.500.000,00",DTINFRA-SP,,11/30/2020,100,"R$ 2.095.292,99",3579/SEN SP/12664,11/30/2020,,,GAP-SP,FAB,,,,,,,,,"R$ 2.095.292,99",,,,,,,,,,,,,SIM,,DTEN,(11) 2104-5426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1270,2020,1270,29/04/2022 15:51:57,PRC,Encerrado,SÃO PAULO,SP,,IV COMAR,COMGAP,PAMA-SP,"Reforma das redes de esgoto, hidrossanitária, e águas pluviais externas às edificações do PAMA-SP",EMAER,142/4SC2/42927,187396,4/9/2020,"R$ 4.100.000,00",DTINFRA-SP,,4/30/2021,100,"R$ 2.619.792,82",Ofíio n° 949/SEN SP/3637,4/30/2021,,,GAP-SP,FAB,,,,,,,,,"R$ 2.619.792,82",,,,,,,,,,,,,SIM,,DTEN,(11) 2104-5426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1271,2020,1271,13/03/2023 15:23:02,OBC,Encerrado,SALVADOR,BA,,II COMAR,SEFA,BASV,Reforma da caixa d'água principal da BASV - SEFA-2021-1-BA-ED,,91/4SC2/41934,,,"R$ 110.000,00",SERINFRA-NT,,,100,"R$ 86.286,85",,,,,GAP-SV,FAB,4/12/2021,"R$ 67.216,65",,"-R$ 14.715,09",,,,,"R$ 67.216,65",BASV,4/12/2021,6/10/2021,99,,,,,,1/30/2022,100,"Obra concluída sem a execução total do objeto. TERD emitido. Valor pago a empresa R$67.216,65 (82,04%) ",SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1272,2020,1272,,OBC,Encerrado,SALVADOR,BA,,II COMAR,SEFA,CEMCOHA,Reforma para estabilização e contenção de taludes do CEMCOHA,,140/4SC2/42893,,,"R$ 1.400.000,00",CONTRATADO,,,,,,,,,,FAB,,"R$ 94.333,88",,,,,,,"94.333,88",,2/21/2022,,,,,,,,7/15/2022,100,"16/08/23 - Projeto cancelado / descontinuado, em virtude da priorização e aprovação do PLANINFRA 2023 pelo EMAER.",SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1273,2020,1273,08/05/2023 13:32:28,OBC,Encerrado,PIRASSUNUNGA,SP,,IV COMAR,COMGEP,AFA,Adequação do Sistema de captação e recalque da ETA - COMGEP-2021-2-SP-SV,AFA,,,,"R$ 350.000,00",DTINFRA-SP,,9/11/2020,100,"R$ 2.556.072,98",199843,,,,GAP-YS,FAB,1/11/2021,"R$ 2.472.087,05",,,,,,,"R$ 2.472.087,05",AFA,6/28/2021,11/25/2021,60,,,,,,1/24/2022,100,Registro SISOP: COMGEP-2021-2-SP-SV.,SIM,,DTEN - ENGENHARIA,(11) 2104-5426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1274,2020,1274,10/06/2022 11:02:01,PCN,Encerrado,RIO DE JANEIRO,RJ,,III COMAR,SEFA,GAP-RJ,Reparação dos prismas de ventilação do GAP-RJ (PREDCOMAER-001) e reparos do barrilete,,164/4SC2/43694,PENDENTE,3/1/2021,"R$ 550.000,00",SERINFRA-RJ,,,,,,,,,,FAB,,,,,,,,,"R$ 550.000,00",SERINFRA-RJ,,,,,,,,,,,"Projeto cancelado / descontinuado, em virtude da priorização e aprovação do PLANINFRA 2023 pelo EMAER",SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1275,2020,1275,18/03/2024 14:21:08,PRC,Encerrado,RIO DE JANEIRO,RJ,,III COMAR,COMGAP,PAMB-RJ,Restauração da Casa de Força E-004 - PAMB-RJ,PAMB-RJ,164/4SC2/43775,187929,,"R$ 100.000,00",SERINFRA-RJ,7/10/2020,8/24/2021,100,"R$ 420.116,84", 	1849/DTINFRA RJ/7693,8/24/2021,,,,FAB,,,,,,,,,"R$ 420.116,84",,,,,,,,,,,,"Devido a evolução nos requisitos e no nível de esforço demandado para atualização, a presente demanda foi reinscrita no PLANINFRA 2024/2025 com o ID n° 2024-2155.",SIM,,,,,,,,,,,,,,,,,,,,,24/08/2021,Não há,01/01/1900,,labregofgl,,,,,,,,,,,,,
2020-1276,2020,1276,05/05/2022 13:06:15,PCN,Encerrado,LAGOA SANTA,MG,,III COMAR,SEFA,PALS,Construção de PNR Oficiais em Lagoa Santa - PALS - 2 Blocos (3and x 4 apt/and) = 24 Unid,EMAER,,,,"R$ 64.000.000,00",CEPE,,,,,,,,,,,,,,,,,,,"R$ 64.000.000,00",,,,,,,,,,,,"Projeto cancelado / descontinuado, pois foi substituido por demanda semelhante priorizada e aprovada no PLANINFRA 2023 pelo EMAER (ID 2023-2028).",SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1277,2020,1277,05/05/2022 13:06:15,PCN,Encerrado,LAGOA SANTA,MG,,III COMAR,SEFA,PALS,Construção de PNR Graduado em Lagoa Santa - PALS - 3 Blocos (6and x 8apt/and) = 144Unid,EMAER,,,,"R$ 67.000.000,00",CEPE,,,,,,,,,,,,,,,,,,,"R$ 67.000.000,00",,,,,,,,,,,,"Projeto cancelado / descontinuado, pois foi substituido por demanda semelhante priorizada e aprovada no PLANINFRA 2023 pelo EMAER (ID 2023-2027).",SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1278,2020,1278,13/03/2025 10:35:55,OBI,PlanINFRA,BRASÍLIA,DF,,VI COMAR,,ALA 1,"Implantação de Sistema de Geração Fotovoltáica ON GRID com, no Mínimo, 630kWp- SEFA-21-1-DF-CO",ALA 1,137/4SC2/42746,,,,SERINFRA-CO,,,100,"R$ 3.190.601,57",142/ORC/259,5/22/2020,,,,FAB 219D,,"R$ 2.854.595,10",,,,,,,"R$ 2.854.595,10",SERINFRA-BR,1/25/2021,1/24/2024,,,,,,,1/24/2024,,"> 03/07/2024 - Status alterado de OBI para OCN, uma vez que houve expiração do prazo de vigência.
===========================
>13/03/2025 - Descrição da demanda atualizada de ""Usina Fotovoltaica da ALA 1"" para ""Implantação de Sistema de Geração Fotovoltáica ON GRID com, no Mínimo, 630kWp"" conforme descrição do objeto no contrato de despesa.",SIM,,DTEN,(51) 3462-1222,,,,,,,,,,,,,,,,,,,Não localizado,01/01/1900,SEFA-21-1-DF-CO,ece.dirinfra,,,,,,,,,,,,,
2020-1279,2020,1279,12/06/2023 13:16:11,PRC,Encerrado,ANÁPOLIS,GO,,VI COMAR,COMPREP,BAAN,Substituição e ampliação da rede de fibra óptica da Área Administrativa da ALA 2,,76/4SC2/41879,,,"R$ 0,00",SERINFRA-BR,,10/15/2021,100,"R$ 891.756,83",394/DTEN-BR/8370,8/31/2022,,,,FAB,,,,,,,,,"R$ 891.756,83",GAC INFRA-AN,,,,,,,,,,,1) Projeto duplicado 2020-1248.,SIM,,DTEN-BR,(61) 3364-8194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1280,2020,1280,04/01/2023 08:56:29,PCN,Encerrado,CANOAS,RS,,V COMAR,COMPREP,BACO,Recuperação da Pista de Taxi Charlie ,BACO,Ofício 2028/SSEP-CO/8773 de 24/09/2021 do Chefe do DTINFRA-CO à DIRINFRA,187982,,"R$ 4.000.000,00",SERINFRA-CO,,10/27/2023,2,,,,,,,FAB 219D,,,,,,,,,"R$ 4.000.000,00",SERINFRA-CO,,,,,,,,,,,"Projeto cancelado / descontinuado, em virtude da priorização e aprovação do PLANINFRA 2023 pelo EMAER",SIM,,DTEN,(51) 3462-1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1281,2020,1281,08/05/2023 13:36:03,OBC,Encerrado,CANOAS,RS,,V COMAR,COMPREP,BACO,"Resselagem e Recuperação da pista, taxiways e pátio da ALA 3 - COMPREP-2021-1-RS-IN",BACO,Of Nº 1625/ACI/39690,Of nº1044/SPOG-10/2496,4/6/2020,"R$ 2.500.000,00",SERINFRA-CO,,6/26/2020,100,"R$ 2.903.414,97",,5/29/2020,,,GAP-CO,FAB 219D,12/21/2020,"R$ 2.874.513,62","R$ 234.546,98","R$ 0,00","R$ 0,00","R$ 377.866,82","R$ 0,00",,"R$ 3.486.927,42",SERINFRA-CO,1/20/2021,7/20/2021,120,120,120,30,,,8/14/2022,100,"- Houve reequilíbrio econômico financeiro no valor de R$ 161.701,80, devido à elevação do custo do aço no mercado. Nesta ferramenta, foi registrado como ""5º Valor de Aditivo"".

- 29/06/2022: Previsão de liberação de 300m de pista a partir de 01/07/2022.
- 29/06/2022: Engº da obra foi substiuído e aumento da mão de obra.
- Previsão de conclusão dos serviços na pista principal para 20/07/2022.
- RT 36_DTINFRA_CO referente ao aditivo de prazo de 30 dias está aguardando assinaturas.
- 15/07/2022: Assinado o 4º Termo Aditivo: Adição de 30 dias de prazo de execução e de vigência.
- 26/08/2022: Assinado o Termo de Recebimento Provisório (prazo se encerra 25/10/2022).
- 29/09/2022: Assinada o Portaria BACO nº 172/ACI designando a Comissão de Recebimento Definitivo e publicada no Boletim Interno Ostensivo nº 140, de 05/10/2022. do GAP-CO.
-  O prazo fornecido no Termo de Recebimento Provisório (TERP), para a STED finalizar a obra, foi 25 de outubro de 2022. O prazo venceu e a empresa não conseguiu executar o único serviço que falta para a completa execução do objeto contratual. Com isso, o Fiscal do Contrato notificou a empresa (Ofício n°6/ 5ETA_CPAT/8512).
- 15/12/2022 Termo de Recebimento Definitivo (TERD) assinado.
- 27/12/2022 - O setor de contratos irá corrigir o valor total na obra no SILOMS e automaticamente o SISOP será atualizado.",SIM,,DTEN,(51) 3462-1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1282,2020,1282,13/03/2023 10:44:16,PRC,Encerrado,RIO DE JANEIRO,RJ,,III COMAR,COMGAP,DTINFRA-RJ,Adaptação do 3º andar do PREDCOMAER para ocupação pelo DTINFRA-RJ,,,,,"R$ 80.000,00",SERINFRA-RJ,,,100,"R$ 171.350,60",,,,,GAP-RJ,FAB,,,,,,,,,"R$ 171.350,60",SERINFRA-RJ,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1283,2020,1283,10/03/2023 09:40:08,PCN,Encerrado,RIO DE JANEIRO,RJ,,III COMAR,COMGEP,CBNB,Construção de Refeitório no CBNB,EMAER,279/4SC2/46252,76/DOR20602,7/22/2020,"R$ 1.425.700,00",SERINFRA-RJ,9/26/2022,,40,,,,,,,FAB,,,,,,,,,"R$ 1.425.700,00",,,,,,,,,,,,"- Projeto incluído no PLANINFRA conforme solicitação do EMAER via Of. 279/4SC2/46252, de 04/06/20.
- COMGEP encaminha Caderno de Necessidades em 22/07/20, via Despacho 76/DOR20602.
- Ofício nº 31/DT/11988 reiterando previsão de entrega para setembro de 2021.
- Ofício nº 131/SEN RJ/613 enviado em 26/01/2020 com o Caderno de Esclarecimentos Técnicos, em caráter complementar ao Caderno de Necessidades . No dia 16/03/2021, foi realizada uma reunião via Plataforma Teams, para tratar, dentre outros assuntos, acerca da solicitação de esclarecimentos enviada via Ofício nº 131/SEN RJ/613, do DTINFRA-RJ para o CBNB, sobre o Projeto de Construção de Refeitório no CBNB, com prazo para 03/09/2021. Como uma das ações que foram definidas na reunião, o DTINFRA-RJ irá elaborar uma estimativa de custo de construção para o refeitório, considerando o cenário mais simples, que será comparado com a estimativa de custo de construção apresentada no PT 35/DTINFRA-RJ/SEN/2020 no valor de R$ 1.216.742,33, que contempla um cenário mais robusto de rancho. Para tal, o Destacamento está aguardando a Revisão do Caderno de Necessidades para o cenário mais simples (refeitório), que, conforme conversa com o Brig. Valadares, o Cap Felipe enviará em 05 (cinco) dias. Em seguida, o DTINFRA-RJ, apresentará em 10 (dez) dias a estimativa orçamentária para construção do referido cenário. Tais cenários e suas respectivas estimativas orçamentárias servirão de subsidio para a Org. Interessada pleitear a possibilidade de alteração da decisão judicial, proferida em Dez/2018, por se tratar de escola assistencial (equiparada a escola militar) e não escola pública. Ofício nº 428/DTINFRA RJ, de 27 de abril de 2021, enviado para a DIRINFRA, para comunicar sobre a reunião realizada em 16/03/2021 e que o projeto encontra-se parado e aguardando o envio do novo caderno de necessidades.
TR para contratação de sondagem de solo sendo elaborado.
Reunião para definição de pontos críticos para projeto foi realizada no dia 29/06/2021, dentre elas definição se será refeitório ou rancho, revezamento de alunos nas refeições, tipos e quantidade de alimentos a serem armazenados e requisitos mínimos para armazenagem. A formalização da mesma ocorrerá via Ofício do CBNB a DIRENS/DIRINFRA.
- Minuta do TAP finalizado.
- Enviado o Ofício nº  31/DTEN RJ/10427 para o CBNB que trata sobre composição de equipe, elaboração do TAP e necessidade do CBNB fazer gestões para viabilizar recursos (R$8.587,65) para realização das sondagens, que são necessárias para o projeto de fundações.
- Enviado e-mail em 06/05/22 ao diretor do CBNB para agendar a apresentação e assinatura do TAP, DTINFRA-RJ segue no aguardo da resposta.
- TAP RJ034.15-08.TAP 001 emitido em 26/09/2022, enviado ao CBNB via ofício nº 110/DTEN RJ/9210 para assinatura.
- O CEPE apoiará a elaboração do projeto com a indicação de um Eng Mecanico.
- Projeto cancelado / descontinuado, pois foi substituído por demanda semelhante priorizada e aprovada no PLANINFRA 2023 pelo EMAER ID 2023-2003.",SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1284,2020,1284,21/03/2024 08:37:51,OBC,Encerrado,RECIFE,PE,,II COMAR,COMGEP,HARF,Reforma e adequação da Unidade de Internação 2 (UI-2) - HARF - COMGEP-2021-2-PE-ED,HARF,279/4SC2/46252,,,"R$ 1.800.000,00",SERINFRA-NT,,4/15/2020,100,"R$ 2.007.621,10",1001/SECDTINFRA RF/3207,4/15/2020,,,,FAB,4/26/2021,"R$ 3.330.465,05","R$ 296.299,10","R$ 632.311,14","R$ 526.708,28",,,,"R$ 3.330.465,05",SERINFRA-NT,4/26/2021,10/23/2021,180,180,30,,,,2/10/2023,100,"1) PR.08.20_-_Reforma_da_UI-2_do_HARF
2) Emissão do TERD:01/06/2023",SIM,,DTEN,(84) 3644-9252,,,,,,,,,,,,,,,,,,15/04/2020,Não localizado,01/01/1900,COMGEP-2021-2-PE-ED,,,,,,,,,,,,,,
2020-1285,2020,1285,,OBC,Encerrado,SÃO JOSÉ DOS CAMPOS,SP,,IV COMAR,,SBSJ,Operação Camaleão SBSJ,,OPERAÇÃO,-,,,,,,100,,,,,,,FAB,8/3/2020,,,,,,,,,,8/3/2020,8/31/2020,,,,,,,8/31/2020,100,,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1286,2020,1286,06/05/2022 10:37:16,OBC,Encerrado,ANÁPOLIS,GO,,VI COMAR,COMPREP,ALA 2,Operação Camaleão SBAN- Fase 1,EMAER,,,,,CEPE,,8/10/2020,100,,,,,,,FAB,9/8/2020,,,,,,,,,,9/8/2020,9/26/2020,,,,,,,9/26/2020,100,,NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1287,2020,1287,18/05/2023 13:40:05,OBC,Encerrado,CANOAS,RS,,V COMAR,,ALA 3,Operação Coruja SBCO,,OPERAÇÃO,,,"R$ 4.089.900,00",SERINFRA-CO,,,100,,,,,,,FAB 14UC,3/15/2021,,,,,,,,"R$ 4.089.900,00",,3/15/2021,8/5/2021,,,,,,,8/5/2021,100,,SIM,,DTEN,(51) 3462-1222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1288,2020,1288,08/05/2023 13:44:04,OBC,Encerrado,ANÁPOLIS,GO,,VI COMAR,,BAAN,Operação Coruja SBAN,,OPERAÇÃO,,,,SERINFRA-BR,,,100,"R$ 2.738.776,77",318/SEN BR/8480,8/31/2020,,,,FAB,,,,,,,,,"R$ 2.738.776,77",,9/26/2022,10/5/2022,,,,,,,10/5/2022,100,1) Projeto iniciado antes da orientação da DIRINFRA quanto à necessidade de elaboração de TAP como marco inicial para elaboração de projeto. ,SIM,,DTEN-BR,(61) 3364-8194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1289,2020,1289,,OBC,PlanINFRA,NATAL,RN,,II COMAR,COMPREP,BANT,Operação Coruja SBNT,,OPERAÇÃO,,,"R$ 3.152.009,20",GECAMP,,,100,"R$ 3.152.009,20",,,,,,FAB 219D,,,,,,,,,"3.152.009,20",GECAMP,,,,,,,,,,100,"16/08/23 - Projeto cancelado / descontinuado, em virtude da priorização e aprovação do PLANINFRA 2023 pelo EMAER.
19/06/2023 - Conforme informado pelo Cap Pacheco , na data de hoje, a Operação foi finalizada em 13/06/24.",SIM,,,,,,,,,,,,,,,,,,,,,,Não se aplica,01/01/1900,,,,,,,,,,,,,,,
2020-1290,2020,1290,27/02/2024 10:45:15,OBI,Encerrado,CANOAS,RS,,V COMAR,COMPREP,ALA 3,Reforma de banheiros e vestiários do 1º/14º Gav -  COMPREP-2019-1-RS-ED,,,,,,SERINFRA-CO,,,100,,Não há,1/1/1900,,,,FAB,,"R$ 82.242,70",,,,,,,"R$ 82.242,70",,12/9/2019,,,,,,,,3/8/2020,100,,NÃO,,,,,,,,,,,,,,,,,,,,,,Não há,01/01/1900,,,,,,,,,,,,,,,
2020-1291,2020,1291,09/05/2023 11:50:54,OBC,Encerrado,CANOAS,RS,,V COMAR,,ALA 3,Reforma do prédio da Subseção de Comunicação (ATIC) nas instalações da ALA 3 - COMPREP-2020-1-RS-ED,,,,,,SERINFRA-CO,,4/30/2019,100,,,,,,GAP-CO,FAB,3/2/2020,"R$ 260.500,00",,,,,,,"R$ 260.500,00",SERINFRA-CO,3/2/2020,8/29/2020,,,,,,,8/29/2020,100,"VALOR EMPENHADO = R$ 260.500,00
 - TERD emitido em 24/11/2020.",NÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
